"itemid","title","genres","country","running_min"
55396,"시라노;연애조작단 (2010)","로맨스/멜로/코미디","한국",121
42858,"본 얼티메이텀 (2007)","액션","미국",-1
121058,"어느 가족 (2018)","드라마","일본",121
4285,"펀치 드렁크 러브 (2002)","코미디","미국",95
36948,"자토이치 (2003)","액션/시대극","일본",115
150,"매그놀리아 (1999)","드라마","미국",187
2886,"에이리언 (1979)","SF/공포","영국,미국",116
66092,"두더지 (2011)","드라마","일본",129
2328,"언브레이커블 (2000)","스릴러/판타지","미국",107
2034,"소나티네 (1993)","액션","일본",93
2361,"화양연화 (2000)","로맨스/멜로/드라마","프랑스,홍콩",97
11722,"동사서독 (1994)","액션/무협","홍콩,대만,중국",-1
50245,"일대종사 (2012)","무협/액션","중국,홍콩",122
41156,"브이 포 벤데타 (2005)","액션/SF","미국,영국,독일",132
40535,"네버랜드를 찾아서 (2004)","드라마","영국,미국",101
44083,"플래닛 테러 (2007)","액션/SF","미국",106
46266,"클래스 (2008)","드라마","프랑스",128
79167,"천주정 (2013)","드라마","중국,일본",130
56972,"사랑을 카피하다 (2010)","미스터리/로맨스/멜로","프랑스,이탈리아,이란",106
51404,"예언자 (2009)","범죄/드라마","프랑스",154
79172,"가장 따뜻한 색, 블루 (2013)","드라마/로맨스/멜로","프랑스",179
42388,"스틸 라이프 (2006)","드라마/로맨스/멜로","중국,홍콩",112
44949,"퍼블릭 에너미 (2009)","범죄/액션","미국",140
96071,"클랜 (2015)","범죄/스릴러","아르헨티나,스페인",108
67335,"언터처블 : 1%의 우정 (2011)","코미디/드라마","프랑스",112
3096,"아비정전 (1990)","드라마/로맨스/멜로","홍콩",-1
95915,"밀정 (2016)","액션/시대극/스릴러","한국",140
136,"4월 이야기 (1998)","드라마/로맨스/멜로","일본",-1
42907,"인랜드 엠파이어 (2006)","미스터리/스릴러/드라마","프랑스,폴란드,미국",179
51337,"안티크라이스트 (2009)","스릴러/드라마","덴마크,독일,프랑스,스웨덴,이탈리아,폴란드",107
43378,"레볼루셔너리 로드 (2008)","드라마","미국,영국",118
16462,"길버트 그레이프 (1993)","드라마/로맨스/멜로","미국",-1
44121,"엘라의 계곡 (2007)","범죄/드라마","미국",120
41138,"폭력의 역사 (2005)","범죄/드라마/스릴러","미국,독일",94
110973,"아이 캔 스피크 (2017)","드라마","한국",119
56394,"소스 코드 (2011)","SF/액션","미국,프랑스",93
1866,"세븐 (1995)","스릴러","미국",-1
1686,"와호장룡 (2000)","액션/무협/드라마","중국,홍콩,대만,미국",120
73022,"앤트맨 (2015)","액션/어드벤처","미국",117
96066,"아노말리사 (2015)","애니메이션/코미디/로맨스/멜로","미국",90
1062,"가위손 (1990)","로맨스/멜로/판타지","미국",100
85583,"자유의 언덕 (2014)","드라마","한국",67
109812,"우리는 같은 꿈을 꾼다 (2017)","드라마/로맨스/멜로","헝가리",116
40494,"토니 타키타니 (2004)","로맨스/멜로/드라마","일본",76
96064,"비거 스플래쉬 (2015)","로맨스/멜로/스릴러","이탈리아,프랑스",125
46025,"로나의 침묵 (2008)","드라마","벨기에,독일,프랑스,영국,이탈리아",104
43763,"4개월, 3주... 그리고 2일 (2007)","드라마","루마니아",113
73899,"액트 오브 킬링 (2012)","다큐멘터리","덴마크,노르웨이,영국,스웨덴,핀란드",159
88119,"침묵의 시선 (2014)","다큐멘터리","덴마크",103
3140,"레퀴엠 (2000)","드라마","미국",100
111659,"바르다가 사랑한 얼굴들 (2017)","다큐멘터리","프랑스",93
68396,"지슬 - 끝나지 않은 세월2 (2012)","드라마","한국",108
44784,"킬러들의 도시 (2008)","범죄/스릴러","영국,미국",102
44125,"아임 낫 데어 (2007)","드라마","미국",135
57022,"엉클 분미 (2010)","드라마","태국,영국,프랑스,독일,스페인,네덜란드",113
61578,"드라이브 (2011)","액션/스릴러","미국",100
54772,"악마를 보았다 (2010)","스릴러","한국",144
57884,"써니 (2011)","드라마","한국",-1
64410,"케빈에 대하여 (2011)","스릴러","영국,미국",112
118838,"인 디 아일 (2018)","드라마","독일",125
59185,"우리도 사랑일까 (2011)","드라마/코미디","캐나다,스페인,일본",-1
40542,"클로저 (2004)","로맨스/멜로","미국",-1
115437,"죄 많은 소녀 (2017)","드라마/미스터리","한국",113
70534,"스타 이즈 본 (2018)","드라마/로맨스/멜로","미국",135
57635,"더 브레이브 (2010)","어드벤처/드라마/서부","미국",110
110902,"퍼스트맨 (2018)","SF/드라마","미국",141
10250,"해리가 샐리를 만났을 때 (1989)","코미디/로맨스/멜로","미국",-1
57645,"미드나잇 인 파리 (2011)","코미디/판타지/로맨스/멜로","미국,스페인",-1
102838,"패터슨 (2016)","드라마","미국,프랑스,독일",118
97509,"미스 페레그린과 이상한 아이들의 집 (2016)","미스터리/판타지","미국,벨기에,영국",127
43457,"우리 생애 최고의 순간 (2007)","드라마","한국",124
91252,"슬로우 웨스트 (2015)","액션/서부","영국,뉴질랜드",84
83642,"이미테이션 게임 (2014)","드라마/스릴러","영국,미국",114
58122,"킹스 스피치 (2010)","드라마","영국,오스트레일리아,미국",118
64990,"월플라워 (2012)","드라마/로맨스/멜로","미국",102
36635,"태극기 휘날리며 (2004)","전쟁","한국",148
10016,"나 홀로 집에 (1990)","코미디/가족","미국",105
89395,"아메리칸 스나이퍼 (2014)","액션/드라마","미국",132
117952,"서치 (2018)","미스터리/스릴러/드라마","미국",102
3878,"지구를 지켜라! (2003)","코미디","한국",117
94484,"아쿠아맨 (2018)","액션","미국,오스트레일리아",143
111578,"120BPM (2017)","드라마","프랑스",143
109984,"프리다의 그해 여름 (2017)","드라마/가족","스페인",98
106954,"버닝 (2018)","미스터리","한국",148
114978,"레이디 버드 (2017)","코미디/드라마","미국",94
3126,"이웃집 토토로 (1988)","애니메이션/드라마","일본",-1
1172,"라이언 일병 구하기 (1998)","액션/전쟁/드라마","미국",169
102684,"퍼스널 쇼퍼 (2016)","미스터리/스릴러/드라마","프랑스",105
40540,"주먹이 운다 (2005)","드라마","한국",134
44392,"멋진 하루 (2008)","로맨스/멜로","한국",123
66814,"부러진 화살 (2011)","드라마","한국",100
1926,"쥬만지 (1995)","코미디/어드벤처","미국",105
42296,"아포칼립토 (2006)","액션/드라마","미국",137
54016,"드래곤 길들이기 (2010)","애니메이션/어드벤처","미국",-1
51326,"만추 (2011)","로맨스/멜로","한국,미국,홍콩",113
61111,"대학살의 신 (2011)","드라마/코미디","프랑스,독일,폴란드,스페인",80
91265,"마이 리틀 자이언트 (2016)","가족/판타지","미국,영국,캐나다",117
68875,"세션: 이 남자가 사랑하는 법 (2012)","드라마","미국",95
71404,"더 헌트 (2012)","드라마","덴마크",115
2704,"빌리 엘리어트 (2000)","드라마/가족","영국,프랑스",-1
106123,"레이디 맥베스 (2016)","드라마","영국",89
113912,"보리 vs 매켄로 (2017)","드라마","스웨덴,덴마크,핀란드",107
41174,"더 차일드 (2005)","드라마/로맨스/멜로","벨기에,프랑스",95
66090,"폭풍의 언덕 (2011)","로맨스/멜로","영국",129
39382,"크래쉬 (2004)","범죄/미스터리/드라마","독일,미국",113
4218,"디 아워스 (2002)","드라마","영국,미국",114
4203,"갱스 오브 뉴욕 (2002)","범죄/드라마","독일,영국,이탈리아,네덜란드,미국",160
114726,"퍼스트 리폼드 (2017)","드라마/스릴러","미국",-1
123375,"로마 (2018)","드라마","멕시코,미국",134
44619,"링컨 (2012)","드라마","미국,인도",150
3702,"인썸니아 (2002)","범죄/스릴러","미국,캐나다",116
44783,"고고70 (2008)","드라마","한국",118
47197,"도쿄 소나타 (2008)","드라마","일본,네덜란드",119
42565,"익사일 (2006)","범죄/액션","홍콩",109
88683,"한여름의 판타지아 (2014)","드라마","한국,일본",97
46195,"더 폴 : 오디어스와 환상의 문 (2006)","판타지/어드벤처","영국,인도,미국",117
147,"글래디에이터 (2000)","액션/드라마","영국,미국",154
10249,"모던 타임즈 (1936)","코미디/로맨스/멜로","미국",-1
41940,"유레루 (2006)","드라마","일본",119
43745,"색, 계 (2007)","로맨스/멜로","미국,중국,대만",-1
67165,"건축학개론 (2012)","로맨스/멜로/드라마","한국",118
73021,"가디언즈 오브 갤럭시 (2014)","액션/어드벤처","미국",121
71622,"늑대아이 (2012)","애니메이션/판타지/로맨스/멜로","일본",117
95399,"괴물의 아이 (2015)","애니메이션/판타지/어드벤처","일본",119
109076,"콜 미 바이 유어 네임 (2017)","드라마/로맨스/멜로","이탈리아,프랑스,미국,브라질",132
114024,"셰이프 오브 워터: 사랑의 모양 (2017)","어드벤처/판타지/공포/로맨스/멜로/스릴러/전쟁","미국",123
75146,"군도:민란의 시대 (2014)","액션","한국",137
