"userid","itemid","rating"
"MVdyRkY=",55396,9
"TzZqVQ==",55396,7
"REI4WTI=",55396,9
"bDJ4aA==",55396,7
"QktyMw==",55396,7
"NnZnOWU=",55396,5
"MWNiOE0=",55396,8
"MkM2Mg==",55396,6
"RHhWNA==",55396,7
"NDJLVVo=",55396,6
"Mk9NaDk=",55396,9
"OXU1ZHA=",42858,8
"QkVabW8=",42858,7
"REI4WTI=",42858,10
"bDJ4aA==",42858,7
"MWNiOE0=",42858,9
"Q244dkI=",42858,9
"M1IweFg=",42858,5
"MzN6QzU=",42858,9
"Q1hsdzg=",42858,10
"d091Mw==",42858,7
"MkM2Mg==",42858,9
"NEpQdHA=",42858,10
"M2p2QTk=",42858,7
"OHB4TVM=",42858,10
"OXpFbHg=",42858,9
"MWpmMnI=",42858,9
"N3U0elQ=",42858,9
"REhkazM=",42858,8
"NHYxVUw=",42858,10
"RFhOTnc=",42858,1
"Q2xzZTE=",42858,9
"MVduZmk=",42858,4
"NEdza0c=",42858,10
"QUdVUEU=",42858,10
"OXU1ZHA=",121058,9
"RjVKVw==",121058,3
"M3hKYUo=",121058,9
"NEpQdHA=",121058,9
"MWtjT3o=",121058,9
"MWtOMlg=",121058,8
"OGZ4SEs=",121058,8
"WDBL",121058,7
"Q1lETVg=",121058,6
"MjZWNWk=",121058,10
"M0xkYnE=",121058,9
"NUdHbGw=",121058,9
"NXJXaTU=",121058,10
"OXU1ZHA=",4285,8
"QkVabW8=",4285,8
"N3Y2WnA=",4285,6
"NEpQdHA=",4285,9
"MWtjT3o=",4285,10
"OVJwUkM=",4285,8
"MWpmMnI=",4285,7
"ZFpLeA==",4285,7
"OGZ4SEs=",4285,7
"OEZvQVQ=",4285,10
"OXU1ZHA=",36948,7
"bDJ4aA==",36948,8
"RmF1eg==",36948,7
"NHRtaWk=",36948,7
"NEZMRDE=",36948,6
"MkM2Mg==",36948,7
"M2p2QTk=",36948,6
"QjJNbw==",36948,9
"NGE0U1M=",36948,5
"NmpTcg==",36948,8
"M0VOUTU=",36948,6
"MjNmem4=",36948,9
"OXU1ZHA=",150,8
"MWNiOE0=",150,8
"M2p2QTk=",150,5
"MWtjT3o=",150,10
"OVJwUkM=",150,8
"R2hpWg==",150,9
"OExBeGY=",150,8
"Q3RyWGM=",150,10
"TGo0Qw==",150,9
"OVljQm4=",150,5
"OXU1ZHA=",2886,9
"TzZqVQ==",2886,8
"QkVabW8=",2886,10
"bDJ4aA==",2886,7
"MWNiOE0=",2886,6
"Q244dkI=",2886,9
"MkM2Mg==",2886,8
"QVRCMXY=",2886,7
"NEpQdHA=",2886,9
"M2p2QTk=",2886,9
"MkhMaHo=",2886,10
"NGE0U1M=",2886,9
"N3U0elQ=",2886,7
"QnJBZXY=",2886,10
"NllDcks=",2886,8
"THhQcw==",2886,10
"WUF3Sw==",2886,10
"QkJ1Tw==",2886,8
"MVVTdVg=",2886,10
"OXU1ZHA=",66092,8
"OWw4Um8=",66092,0
"RDdUUWM=",66092,5
"MW1vaUQ=",66092,5
"NmpTcg==",66092,10
"NENocnY=",66092,2
"N1F5UEc=",66092,10
"b3Bxaw==",66092,7
"OXU1ZHA=",2328,7
"REI4WTI=",2328,7
"bDJ4aA==",2328,6
"MWNiOE0=",2328,7
"MmZIMWY=",2328,6
"MkM2Mg==",2328,6
"QVRCMXY=",2328,5
"NEpQdHA=",2328,7
"REZRTDY=",2328,10
"M2p2QTk=",2328,3
"MkhMaHo=",2328,7
"OVJwUkM=",2328,8
"OXpFbHg=",2328,7
"NGE0U1M=",2328,5
"MWhSazE=",2328,6
"OGZ4SEs=",2328,5
"cU5rQQ==",2328,7
"N3huTjE=",2328,5
"MVduZmk=",2328,7
"R1VXRg==",2328,0
"OXU1ZHA=",2034,7
"NThneA==",2034,8
"MW1vaUQ=",2034,7
"NENocnY=",2034,6
"MjlDR28=",2034,9
"N002SVI=",2034,6
"TEl2Zg==",2034,7
"NFZYekw=",2361,9
"bDJ4aA==",2361,7
"MWNiOE0=",2361,6
"Q244dkI=",2361,8
"NkR6Ng==",2361,10
"RDdUUWM=",2361,7
"QVRCMXY=",2361,7
"NEpQdHA=",2361,10
"MXlzeGU=",2361,7
"MWpmMnI=",2361,9
"MmZhMUU=",2361,9
"MW1xVWI=",2361,10
"MW9RTTk=",2361,9
"MjdTMEw=",2361,10
"SnBJdA==",2361,10
"OXU1ZHA=",11722,8
"MldoTVo=",11722,8
"Qjd5MA==",11722,10
"MmZIMWY=",11722,7
"QVRCMXY=",11722,6
"MWtjT3o=",11722,6
"OGZ4SEs=",11722,7
"NHYxVUw=",11722,7
"RFdKNUE=",11722,10
"MXcySmM=",11722,10
"WUF3Sw==",11722,7
"NDFJWFY=",11722,10
"OXU1ZHA=",50245,8
"MWNiOE0=",50245,5
"RjVKVw==",50245,4
"MXdBdVg=",50245,8
"MkM2Mg==",50245,5
"NFVncA==",50245,6
"WlVPcg==",50245,6
"WDBL",50245,6
"RFdKNUE=",50245,9
"SDRyQw==",50245,8
"QTRSTU4=",50245,10
"M0NNOUo=",50245,8
"OXU1ZHA=",41156,7
"TzZqVQ==",41156,8
"NFZYekw=",41156,9
"REI4WTI=",41156,6
"bDJ4aA==",41156,7
"MldoTVo=",41156,10
"RjVKVw==",41156,6
"QjVrRQ==",41156,10
"MzN6QzU=",41156,6
"d091Mw==",41156,7
"MWxZRUY=",41156,10
"MkM2Mg==",41156,8
"QVRCMXY=",41156,6
"NEpQdHA=",41156,10
"M2p2QTk=",41156,7
"MkhMaHo=",41156,10
"REFZdjA=",41156,10
"OGZ4SEs=",41156,7
"RFhOTnc=",41156,10
"WUF3Sw==",41156,10
"SVBhbQ==",41156,9
"MVduZmk=",41156,7
"NTh0Z24=",41156,10
"YVVmRg==",41156,10
"OVZxMw==",41156,10
"VHZ5Yw==",41156,9
"NDRGem8=",41156,10
"MWtEcVI=",41156,10
"OXU1ZHA=",40535,7
"RmF1eg==",40535,5
"d091Mw==",40535,6
"blFEZQ==",40535,8
"NndkVw==",40535,9
"NmpTcg==",40535,8
"QmU2MVk=",40535,10
"M2tIZmc=",40535,9
"NHkwOW4=",40535,8
"MmZIMWY=",44083,7
"OWExU2I=",44083,8
"MWtjT3o=",44083,4
"ODI4bHo=",44083,9
"RFVZNzY=",44083,8
"MmZhMUU=",44083,8
"Q0pwb1g=",44083,8
"NG93Uw==",44083,7
"OXU1ZHA=",46266,7
"SWJ2Mw==",46266,5
"NE44OQ==",46266,8
"SGtnWQ==",46266,8
"UGFM",46266,7
"RmF1eg==",79167,8
"QVRCMXY=",79167,7
"OEN4ZjU=",79167,7
"OGZ4SEs=",79167,6
"Q1lETVg=",79167,7
"MWUweVQ=",79167,6
"MmhuTXE=",79167,10
"N002SVI=",79167,8
"OXU1ZHA=",56972,7
"SWJ2Mw==",56972,3
"NE44OQ==",56972,9
"MVprTFU=",56972,8
"M1pUVjk=",56972,9
"b0kwdw==",56972,7
"NW9nVlE=",56972,6
"OXU1ZHA=",51404,7
"bDJ4aA==",51404,7
"MW5QTVQ=",51404,10
"M1IweFg=",51404,3
"MXdBdVg=",51404,10
"REZRTDY=",51404,10
"OGZ4SEs=",51404,6
"NmpTcg==",51404,8
"OXU1ZHA=",79172,8
"QkVabW8=",79172,7
"MWNiOE0=",79172,8
"MldoTVo=",79172,7
"RjVKVw==",79172,1
