,이용횟수
41002045.0,53846
41002044.0,40389
41031040.0,61357
41031121.0,19402
41031013.0,18416
41020001.0,25767
41067109.0,10165
41021002.0,506
41110050.0,355
41036102.0,33222
41031065.0,7495
41027004.0,38067
41036111.0,27797
41324001.0,2246
41031020.0,46958
41367001.0,1212
41067005.0,13166
41027009.0,49515
41061025.0,5375
41425003.0,427
41031024.0,43246
41075011.0,1895
41031004.0,20336
41002046.0,78759
41036110.0,28564
41031141.0,3552
41031046.0,24886
41036115.0,10584
41008170.0,22084
41086002.0,10967
41027008.0,18451
41031108.0,29797
41031009.0,5490
41031110.0,12179
28222001.0,36
41008148.0,19998
41031002.0,6184
41025004.0,33
41003010.0,219
41031019.0,6646
41012112.0,1571
41004020.0,475
41036113.0,21198
41031125.0,11919
41002038.0,16291
41067012.0,27895
41036132.0,18250
41075030.0,867
41251002.0,132
41251001.0,136
41026012.0,1637
41002902.0,2317
11110052.0,147
11110055.0,68
41031132.0,4139
41031030.0,15060
41036042.0,1602
41036006.0,8218
41036123.0,2156
41067024.0,151
41317004.0,1379
41067135.0,9011
41027010.0,2715
41003310.0,314
41036108.0,30401
41007111.0,10
41205007.0,395
41031001.0,4006
41013003.0,711
41036012.0,4461
41213002.0,140
11110046.0,187
41074077.0,25529
41031107.0,4941
11110764.0,43
41036128.0,4817
41036131.0,16341
41074061.0,7530
41086011.0,6595
41003103.0,6291
41036040.0,1852
41031005.0,766
41061022.0,1130
41074080.0,2568
41037102.0,727
41031109.0,11793
41419002.0,1342
41002090.0,18361
11110211.0,27
41074072.0,2488
41003900.0,2108
41006241.0,3746
41031016.0,4149
41358002.0,569
41051106.0,602
41323005.0,2083
11110017.0,325
41036018.0,491
41488001.0,1502
41012101.0,2546
41006405.0,485
41008152.0,11584
41036105.0,6566
41218002.0,104
41002014.0,476
41067010.0,974
41003011.0,1086
41008006.0,3374
41004010.0,1216
41224004.0,491
41008007.0,2719
41008169.0,1251
41036134.0,1070
41030001.0,14
41031048.0,4066
41003006.0,1713
41012104.0,139
41003338.0,9769
41419006.0,329
41075031.0,3652
11110510.0,11
41021030.0,981
41075022.0,389
41438003.0,2
41008151.0,3362
41067131.0,12234
41031018.0,3297
41036039.0,2931
41036026.0,1961
41031003.0,585
41031042.0,2912
41323002.0,2156
41324002.0,3891
41491004.0,1560
28010004.0,8
41026006.0,346
11110652.0,79
41110091.0,105
41086005.0,3452
41031028.0,578
11110085.0,205
41031140.0,4498
41488003.0,314
41012114.0,1086
11110945.0,24
41036116.0,3452
41006407.0,2553
41026009.0,1444
41075017.0,3310
41006261.0,1409
41031007.0,509
41031027.0,531
41007133.0,2976
41026005.0,204
41031052.0,1860
41012113.0,95
41032006.0,136
41075014.0,161
41044003.0,218
41044107.0,1412
41002632.0,2149
41419009.0,1644
41422002.0,111
41419008.0,136
41008154.0,655
41075028.0,275
41036043.0,412
41004025.0,599
41485042.0,220
41428003.0,222
41086009.0,978
41006342.0,1225
41002013.0,599
41203001.0,1840
41003002.0,248
