정류소명,위도,경도
병점역,37.1511826,126.7633793
병점초등학교,37.2081094,127.0229517
병점역사거리,37.2081094,127.0229517
신창미션힐.송화초교,37.2080424,127.0328152
홈플러스.벌말초교,37.2017171,127.0404653
송화초교.양우내안애,37.2017171,127.0404653
다은마을,37.2023848,127.0394494
메타폴리스(중),37.2023848,127.0394494
한빛마을(중),37.2023848,127.0394494
한림대병원(중),37.2122119,127.061421
삼성반도체후문,37.2122119,127.061421
동부출장소.병점초등학교,37.2080424,127.0328152
동부출장소.병점초등학교,37.208916,127.033832
삼성반도체후문,37.221487,127.076355
한림대병원(중),37.2178872,127.0744433
한빛마을(중),37.2088728,127.0676211
메타폴리스(중),37.2040667,127.0648164
다은마을,37.2017855,127.0641648
송화초교.양우내안애,37.2017685,127.0395684
홈플러스.벌말초교,37.2017685,127.0395684
신창미션힐.송화초교,37.2017685,127.0395684
병점역사거리,37.2055025,127.0354766
