,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,이비노선ID,WGS84위도,WGS84경도,시군명
0,68834,228000204,24,53,한원IC,233000169,37403.0,41006281.0,37.1527333,127.12288329999998,화성시
1,68835,228000204,24,54,장지동,233000168,36808.0,41006281.0,37.1551167,127.1179,화성시
7,68836,228000204,24,55,장지동,233000167,36809.0,41006281.0,37.155866700000004,127.11501670000001,화성시
13,68837,228000204,24,56,롯데캐슬.제일풍경채,233003130,55526.0,41006281.0,37.157483299999996,127.10928329999999,화성시
17,68838,228000204,24,57,자이파밀리에,233003131,55527.0,41006281.0,37.1591667,127.10605,화성시
25,68839,228000204,24,58,꽃가마약수터,233000166,36810.0,41006281.0,37.1591,127.09935,화성시
26,68861,228000204,24,80,꽃가마약수터,233001323,36943.0,41006281.0,37.1589,127.09875,화성시
27,68862,228000204,24,81,자이파밀리에,233003163,55560.0,41006281.0,37.15910094,127.10596299999999,화성시
35,68863,228000204,24,82,롯데캐슬.제일풍경채,233003164,55561.0,41006281.0,37.15743523,127.10912350000001,화성시
39,68864,228000204,24,83,장지동,233001320,37508.0,41006281.0,37.1557167,127.11495,화성시
45,68865,228000204,24,84,한원IC,233001321,36945.0,41006281.0,37.152666700000005,127.12271670000001,화성시
46,88114,233000004,1004,1,장외리.오리골,233001903,37929.0,41037102.0,37.1769333,126.66631670000001,화성시
56,88115,233000004,1004,2,돈말입구,233001928,55350.0,41037102.0,37.1749833,126.66375,화성시
64,88116,233000004,1004,3,제부도입구,233001850,55347.0,41037102.0,37.1727833,126.65971670000002,화성시
84,88117,233000004,1004,4,제부도입구,233001293,37002.0,41037102.0,37.1722167,126.65838329999998,화성시
104,88118,233000004,1004,5,송교리(경유),277102502,,41037102.0,37.1689667,126.65888329999999,화성시
105,88119,233000004,1004,6,개경촌,233000749,37006.0,41037102.0,37.1647167,126.66428329999998,화성시
113,88120,233000004,1004,7,송교1리,233000748,37013.0,41037102.0,37.1635,126.66891670000001,화성시
121,88121,233000004,1004,8,큰말입구,233000747,37014.0,41037102.0,37.1660667,126.67516670000002,화성시
