,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no,표준정류장ID,시군명
1462,164077,241317009,39,1,장지동,233000168,36808.0,233000168,화성시
1465,164078,241317009,39,2,장지동,233000167,36809.0,233000167,화성시
1469,164084,241317009,39,8,롯데캐슬.제일풍경채,233003130,55526.0,233003130,화성시
1473,164085,241317009,39,9,자이파밀리에,233003131,55527.0,233003131,화성시
1562,164113,241317009,39,37,자이파밀리에,233003163,55560.0,233003163,화성시
1566,164114,241317009,39,38,롯데캐슬.제일풍경채,233003164,55561.0,233003164,화성시
1569,164120,241317009,39,44,장지동,233001320,37508.0,233001320,화성시
7510,188372,241483001,5-1A,2,제부도입구,233001293,37002.0,233001293,화성시
7515,188374,241483001,5-1A,4,개경촌,233000749,37006.0,233000749,화성시
7519,188376,241483001,5-1A,6,송교1리,233000748,37013.0,233000748,화성시
7523,188377,241483001,5-1A,7,큰말입구,233000747,37014.0,233000747,화성시
7528,188378,241483001,5-1A,8,장외리.지긋말,233000746,37017.0,233000746,화성시
7533,188380,241483001,5-1A,10,장외리,233000745,37021.0,233000745,화성시
7537,188381,241483001,5-1A,11,숲풀안앞,233001875,37784.0,233001875,화성시
7542,164400,241319005,공영1(사곳.궁평),13,광평삼거리,233000850,37563.0,233000850,화성시
7543,164472,241319006,공영1(매화.궁평),13,광평삼거리,233000850,37563.0,233000850,화성시
7544,164546,241319007,공영1(궁평.사곳),13,광평삼거리,233000850,37563.0,233000850,화성시
7545,165354,241319033,20-3(당성왕모대),13,광평삼거리,233000850,37563.0,233000850,화성시
7546,188382,241483001,5-1A,12,광평삼거리,233000850,37563.0,233000850,화성시
7550,164401,241319005,공영1(사곳.궁평),14,느티나무앞,233001887,37928.0,233001887,화성시
7551,164473,241319006,공영1(매화.궁평),14,느티나무앞,233001887,37928.0,233001887,화성시
7552,164547,241319007,공영1(궁평.사곳),14,느티나무앞,233001887,37928.0,233001887,화성시
7553,165355,241319033,20-3(당성왕모대),14,느티나무앞,233001887,37928.0,233001887,화성시
7554,188383,241483001,5-1A,13,느티나무앞,233001887,37928.0,233001887,화성시
7558,164402,241319005,공영1(사곳.궁평),15,광평주유소,233000851,37579.0,233000851,화성시
7559,164474,241319006,공영1(매화.궁평),15,광평주유소,233000851,37579.0,233000851,화성시
7560,164548,241319007,공영1(궁평.사곳),15,광평주유소,233000851,37579.0,233000851,화성시
7561,165356,241319033,20-3(당성왕모대),15,광평주유소,233000851,37579.0,233000851,화성시
7562,188384,241483001,5-1A,14,광평주유소,233000851,37579.0,233000851,화성시
7566,164403,241319005,공영1(사곳.궁평),16,광평리,233001561,37032.0,233001561,화성시
7567,164475,241319006,공영1(매화.궁평),16,광평리,233001561,37032.0,233001561,화성시
7568,164549,241319007,공영1(궁평.사곳),16,광평리,233001561,37032.0,233001561,화성시
7569,165357,241319033,20-3(당성왕모대),16,광평리,233001561,37032.0,233001561,화성시
7570,188385,241483001,5-1A,15,광평리,233001561,37032.0,233001561,화성시
7574,164405,241319005,공영1(사곳.궁평),18,서신중학교후문,233003118,55514.0,233003118,화성시
7575,164477,241319006,공영1(매화.궁평),18,서신중학교후문,233003118,55514.0,233003118,화성시
7576,164551,241319007,공영1(궁평.사곳),18,서신중학교후문,233003118,55514.0,233003118,화성시
7577,165359,241319033,20-3(당성왕모대),18,서신중학교후문,233003118,55514.0,233003118,화성시
7578,188387,241483001,5-1A,17,서신중학교후문,233003118,55514.0,233003118,화성시
7582,164406,241319005,공영1(사곳.궁평),19,매화리,233000852,37040.0,233000852,화성시
7583,164478,241319006,공영1(매화.궁평),19,매화리,233000852,37040.0,233000852,화성시
7584,164552,241319007,공영1(궁평.사곳),19,매화리,233000852,37040.0,233000852,화성시
7585,165360,241319033,20-3(당성왕모대),19,매화리,233000852,37040.0,233000852,화성시
7586,188388,241483001,5-1A,18,매화리,233000852,37040.0,233000852,화성시
7591,165281,241319032,20-3(왕모대시청),30,서신터미널,233000853,37045.0,233000853,화성시
7595,165283,241319032,20-3(왕모대시청),32,상안리삼거리,233000344,37398.0,233000344,화성시
7599,165285,241319032,20-3(왕모대시청),34,상안2리.SK주유소,233000744,37057.0,233000744,화성시
7616,165174,241319029,20-1(백곡리),7,육일2리.코스코밸리,233000854,37068.0,233000854,화성시
7617,165287,241319032,20-3(왕모대시청),36,육일2리.코스코밸리,233000854,37068.0,233000854,화성시
7618,188432,241483002,5-2,8,육일2리.코스코밸리,233000854,37068.0,233000854,화성시
7622,165175,241319029,20-1(백곡리),8,육일리교차로,233001482,37557.0,233001482,화성시
7623,165288,241319032,20-3(왕모대시청),37,육일리교차로,233001482,37557.0,233001482,화성시
7628,165176,241319029,20-1(백곡리),9,육일리마을회관,233002330,55172.0,233002330,화성시
7629,165289,241319032,20-3(왕모대시청),38,육일리마을회관,233002330,55172.0,233002330,화성시
7634,164455,241319005,공영1(사곳.궁평),68,육일리.육교동입구,233000269,37369.0,233000269,화성시
7635,164529,241319006,공영1(매화.궁평),70,육일리.육교동입구,233000269,37369.0,233000269,화성시
7636,164600,241319007,공영1(궁평.사곳),67,육일리.육교동입구,233000269,37369.0,233000269,화성시
7637,165177,241319029,20-1(백곡리),10,육일리.육교동입구,233000269,37369.0,233000269,화성시
7638,165290,241319032,20-3(왕모대시청),39,육일리.육교동입구,233000269,37369.0,233000269,화성시
7639,165395,241319033,20-3(당성왕모대),54,육일리.육교동입구,233000269,37369.0,233000269,화성시
7645,164312,241319002,20(마산포),30,사강복지회관,233000855,37080.0,233000855,화성시
7646,164348,241319003,20(어도동내),33,사강복지회관,233000855,37080.0,233000855,화성시
7647,164384,241319004,20(어도펜션),33,사강복지회관,233000855,37080.0,233000855,화성시
7648,164456,241319005,공영1(사곳.궁평),69,사강복지회관,233000855,37080.0,233000855,화성시
7649,164530,241319006,공영1(매화.궁평),71,사강복지회관,233000855,37080.0,233000855,화성시
7650,164601,241319007,공영1(궁평.사곳),68,사강복지회관,233000855,37080.0,233000855,화성시
7651,164625,241319008,공영1(지화2리),21,사강복지회관,233000855,37080.0,233000855,화성시
7652,164771,241319012,공영2(지화2리),21,사강복지회관,233000855,37080.0,233000855,화성시
7653,164791,241319013,공영3(장문지화1),17,사강복지회관,233000855,37080.0,233000855,화성시
7654,164919,241319020,공영4(도말.고포),24,사강복지회관,233000855,37080.0,233000855,화성시
7655,164952,241319021,공영4(마산.고포),30,사강복지회관,233000855,37080.0,233000855,화성시
7656,164983,241319022,공영4(형도.고포),28,사강복지회관,233000855,37080.0,233000855,화성시
7657,165012,241319023,공영4(솔미.구렛),26,사강복지회관,233000855,37080.0,233000855,화성시
7658,165042,241319024,20-2(용포화석지),27,사강복지회관,233000855,37080.0,233000855,화성시
7659,165072,241319025,20-2(천등.고정),27,사강복지회관,233000855,37080.0,233000855,화성시
7660,165105,241319026,20-2(용포고정천),30,사강복지회관,233000855,37080.0,233000855,화성시
7661,165134,241319027,20-2(용포.고정),26,사강복지회관,233000855,37080.0,233000855,화성시
7662,165164,241319028,20-2(천등화석지),27,사강복지회관,233000855,37080.0,233000855,화성시
7663,165178,241319029,20-1(백곡리),11,사강복지회관,233000855,37080.0,233000855,화성시
7664,165248,241319031,20-1(독지리),20,사강복지회관,233000855,37080.0,233000855,화성시
7665,165291,241319032,20-3(왕모대시청),40,사강복지회관,233000855,37080.0,233000855,화성시
7666,165396,241319033,20-3(당성왕모대),55,사강복지회관,233000855,37080.0,233000855,화성시
7667,165402,241319034,20-3(쌍쏭.대광A),3,사강복지회관,233000855,37080.0,233000855,화성시
7668,165504,241319036,공영3(솔미.구렛),26,사강복지회관,233000855,37080.0,233000855,화성시
7669,165528,241319037,공영3(지화2리),21,사강복지회관,233000855,37080.0,233000855,화성시
7670,165555,241319039,공영4(돌내.형도),24,사강복지회관,233000855,37080.0,233000855,화성시
7671,165578,241319041,공영4(돌내독지1),20,사강복지회관,233000855,37080.0,233000855,화성시
7672,165602,241319042,공영4(돌내독지2),21,사강복지회관,233000855,37080.0,233000855,화성시
7673,188433,241483002,5-2,9,사강복지회관,233000855,37080.0,233000855,화성시
7674,188669,241483008,50-7,26,사강복지회관,233000855,37080.0,233000855,화성시
7680,164313,241319002,20(마산포),31,사강시장,233000268,37084.0,233000268,화성시
7681,164349,241319003,20(어도동내),34,사강시장,233000268,37084.0,233000268,화성시
7682,164385,241319004,20(어도펜션),34,사강시장,233000268,37084.0,233000268,화성시
7683,164457,241319005,공영1(사곳.궁평),70,사강시장,233000268,37084.0,233000268,화성시
7684,164531,241319006,공영1(매화.궁평),72,사강시장,233000268,37084.0,233000268,화성시
7685,164602,241319007,공영1(궁평.사곳),69,사강시장,233000268,37084.0,233000268,화성시
7686,164626,241319008,공영1(지화2리),22,사강시장,233000268,37084.0,233000268,화성시
7687,164772,241319012,공영2(지화2리),22,사강시장,233000268,37084.0,233000268,화성시
7688,164792,241319013,공영3(장문지화1),18,사강시장,233000268,37084.0,233000268,화성시
7689,164920,241319020,공영4(도말.고포),25,사강시장,233000268,37084.0,233000268,화성시
7690,164953,241319021,공영4(마산.고포),31,사강시장,233000268,37084.0,233000268,화성시
7691,164984,241319022,공영4(형도.고포),29,사강시장,233000268,37084.0,233000268,화성시
7692,165013,241319023,공영4(솔미.구렛),27,사강시장,233000268,37084.0,233000268,화성시
7693,165043,241319024,20-2(용포화석지),28,사강시장,233000268,37084.0,233000268,화성시
7694,165073,241319025,20-2(천등.고정),28,사강시장,233000268,37084.0,233000268,화성시
7695,165106,241319026,20-2(용포고정천),31,사강시장,233000268,37084.0,233000268,화성시
7696,165135,241319027,20-2(용포.고정),27,사강시장,233000268,37084.0,233000268,화성시
7697,165165,241319028,20-2(천등화석지),28,사강시장,233000268,37084.0,233000268,화성시
7698,165179,241319029,20-1(백곡리),12,사강시장,233000268,37084.0,233000268,화성시
7699,165249,241319031,20-1(독지리),21,사강시장,233000268,37084.0,233000268,화성시
7700,165292,241319032,20-3(왕모대시청),41,사강시장,233000268,37084.0,233000268,화성시
7701,165397,241319033,20-3(당성왕모대),56,사강시장,233000268,37084.0,233000268,화성시
7702,165403,241319034,20-3(쌍쏭.대광A),4,사강시장,233000268,37084.0,233000268,화성시
7703,165505,241319036,공영3(솔미.구렛),27,사강시장,233000268,37084.0,233000268,화성시
7704,165529,241319037,공영3(지화2리),22,사강시장,233000268,37084.0,233000268,화성시
7705,165556,241319039,공영4(돌내.형도),25,사강시장,233000268,37084.0,233000268,화성시
7706,165579,241319041,공영4(돌내독지1),21,사강시장,233000268,37084.0,233000268,화성시
7707,165603,241319042,공영4(돌내독지2),22,사강시장,233000268,37084.0,233000268,화성시
7708,188434,241483002,5-2,10,사강시장,233000268,37084.0,233000268,화성시
7709,188670,241483008,50-7,27,사강시장,233000268,37084.0,233000268,화성시
7715,164314,241319002,20(마산포),32,사강정형외과,233000267,37088.0,233000267,화성시
7716,164350,241319003,20(어도동내),35,사강정형외과,233000267,37088.0,233000267,화성시
7717,164386,241319004,20(어도펜션),35,사강정형외과,233000267,37088.0,233000267,화성시
7718,164458,241319005,공영1(사곳.궁평),71,사강정형외과,233000267,37088.0,233000267,화성시
7719,164532,241319006,공영1(매화.궁평),73,사강정형외과,233000267,37088.0,233000267,화성시
7720,164603,241319007,공영1(궁평.사곳),70,사강정형외과,233000267,37088.0,233000267,화성시
7721,164627,241319008,공영1(지화2리),23,사강정형외과,233000267,37088.0,233000267,화성시
7722,164630,241319009,공영2(삼존대광A),2,사강정형외과,233000267,37088.0,233000267,화성시
7723,164678,241319010,공영2(송정대광A),2,사강정형외과,233000267,37088.0,233000267,화성시
7724,164749,241319011,공영2(금당2리),26,사강정형외과,233000267,37088.0,233000267,화성시
7725,164773,241319012,공영2(지화2리),23,사강정형외과,233000267,37088.0,233000267,화성시
7726,164793,241319013,공영3(장문지화1),19,사강정형외과,233000267,37088.0,233000267,화성시
7727,164796,241319015,공영3(청원.삼존),2,사강정형외과,233000267,37088.0,233000267,화성시
7728,164828,241319016,공영3(삼존.청원),2,사강정형외과,233000267,37088.0,233000267,화성시
