,이용횟수
4116828.0,1831
4150144.0,1517
4117280.0,1028
4199619.0,240
4108130.0,5446
4100122.0,307
4100098.0,421
4197606.0,381
1716.0,8834
4116611.0,350
9814.0,12
1708.0,1528
4151651.0,7944
4100527.0,788
4111874.0,461
4116704.0,522
4108100.0,1365
4100084.0,1380
9151651.0,319
4108065.0,1997
4108051.0,2525
4108036.0,3976
4108044.0,15188
4100086.0,347
4100013.0,1599
4118428.0,82
4130412.0,1195
4122214.0,22315
4108111.0,1495
1869.0,13293
4119143.0,170
4116972.0,395
4198644.0,1588
4170271.0,4459
4100024.0,2210
4108071.0,6285
4120515.0,378
4170841.0,882
4130401.0,1188
4100028.0,1726
4100576.0,820
222.0,1992
4116792.0,863
4116755.0,1243
4107942.0,2435
4108187.0,1280
4108153.0,454
4116808.0,1046
4114908.0,310
4106798.0,6745
4195602.0,359
4108220.0,1506
4179350.0,967
4108185.0,1295
4103489.0,189
4100450.0,353
4150332.0,696
4116708.0,695
4100144.0,1263
4122215.0,16371
4117181.0,258
4116674.0,1846
4116785.0,606
4108113.0,1786
1713.0,25266
2747.0,241
4108110.0,3661
1872.0,1321
4100114.0,939
1711.0,5129
4116760.0,7727
4100147.0,896
1705.0,434
1006.0,836
4103493.0,548
2806810.0,2
1809.0,94
4117183.0,8349
4131032.0,312
2807110.0,18
4108225.0,792
4107937.0,3045
4176873.0,3
4117121.0,146
4105381.0,1107
4116855.0,274
4116981.0,1229
4122177.0,737
4102820.0,6614
4116910.0,1596
4196067.0,69
4110078.0,1367
4135036.0,603
4179223.0,1238
4116729.0,427
4135023.0,175
4110270.0,2102
4108109.0,4275
4100087.0,539
4116899.0,4252
4315.0,1149
4116940.0,1737
4100018.0,1639
4151567.0,602
4100043.0,506
4100048.0,8599
4170527.0,141
4108041.0,6950
4116673.0,653
4117277.0,453
4100075.0,198
4118459.0,13
1457.0,2516
4160269.0,385
4135025.0,890
4110254.0,1040
8004290.0,262
4150162.0,1986
4151704.0,1940
4179371.0,4195
4311.0,1215
4108218.0,2658
4116882.0,6466
8856.0,365
9034961.0,5
4116955.0,640
4105383.0,759
4117370.0,35
4117391.0,539
4170102.0,3588
4170093.0,16599
4110130.0,3673
1719.0,4078
4170096.0,4291
4108145.0,1395
4111872.0,519
1867.0,3067
4108158.0,785
4107930.0,2271
4116753.0,911
4116920.0,805
4116965.0,1515
4197425.0,632
4130058.0,1240
4130131.0,3354
4117367.0,801
4107935.0,5889
4170338.0,464
4130117.0,487
4100106.0,649
4100129.0,2348
4100035.0,1059
4100078.0,74
4179200.0,391
1855.0,2264
4179140.0,15
4101986.0,2
4199631.0,706
4117316.0,142
4105270.0,123
4100611.0,364
4100448.0,348
4108011.0,512
4199361.0,854
4111851.0,1259
4108183.0,7153
4100095.0,668
4100164.0,344
4170119.0,59
4116678.0,1746
4198904.0,161
4116883.0,5164
4179150.0,380
9005370.0,20
4111849.0,1003
4199624.0,1307
4160358.0,1360
4197438.0,610
4108196.0,764
4113291.0,1189
9012549.0,13
1703.0,434
4179334.0,1684
4102839.0,176
4197591.0,955
4116978.0,236
4108106.0,3911
4102827.0,1158
4105311.0,54
4116985.0,575
4114206.0,786
4199883.0,394
4116922.0,4918
4117388.0,383
4100445.0,400
4100138.0,1901
4111734.0,149
4120442.0,373
1861.0,347
1724.0,1621
4117346.0,91
4117272.0,42
4108043.0,2571
4170101.0,2777
4116900.0,5370
4170110.0,446
4130356.0,422
4116814.0,566
4150135.0,790
4130403.0,2035
2746.0,215
4130419.0,2578
4170963.0,522
4116853.0,3223
1817.0,4
4116701.0,2039
4170099.0,2441
4103755.0,431
1451.0,213
4103593.0,2402
4116930.0,777
4116954.0,333
4108229.0,1922
4105379.0,1090
4116833.0,1123
4108222.0,1765
4117282.0,289
424.0,146
4100535.0,343
4197590.0,976
4170974.0,1817
4198975.0,937
4130445.0,880
4113651.0,256
4108174.0,716
4170978.0,854
4130135.0,457
4102823.0,443
4117033.0,1316
4117231.0,1993
4102932.0,340
4100156.0,844
4116927.0,1445
4100039.0,1335
4114341.0,61
4135554.0,26
4150178.0,210
4105634.0,129
4170113.0,3990
4117232.0,374
4107928.0,10952
1853.0,788
4111736.0,1514
4111839.0,2525
1862.0,1965
4100446.0,143
2823.0,820
8002175.0,14
4114363.0,1755
4130034.0,602
4170973.0,3598
4113599.0,3368
4197467.0,3651
4179317.0,380
4170100.0,3049
1712.0,3251
4100023.0,1520
4100606.0,313
4108062.0,2163
4122332.0,1534
4116925.0,381
4130435.0,913
4108093.0,2082
4100081.0,227
4130430.0,325
4170957.0,64
4103625.0,424
4100154.0,2017
4108040.0,1849
4121813.0,379
9000854.0,27
4116657.0,605
4116897.0,5383
1715.0,1988
4116719.0,1087
4170112.0,2443
4117045.0,1778
4116852.0,1542
4108128.0,724
4130132.0,205
4116692.0,1114
4150153.0,420
4114238.0,792
4116877.0,2205
4116880.0,2363
4179378.0,931
4116802.0,444
4116875.0,3159
4108159.0,1463
4199630.0,734
4102826.0,3250
4131033.0,439
4116671.0,3807
4176943.0,613
4179252.0,2
4100443.0,366
4108039.0,3604
4119379.0,3481
4117322.0,2652
1871.0,4361
4108079.0,1472
4108164.0,4861
4196993.0,1898
4108156.0,475
4102831.0,4199
4116690.0,635
4170258.0,395
4117179.0,261
4108216.0,1957
4195601.0,239
232.0,975
4100113.0,1336
4100127.0,4074
4179355.0,150
4116683.0,39
4120449.0,963
4117053.0,371
4105382.0,1339
1846.0,5042
1852.0,362
4107933.0,1419
4108178.0,887
4108168.0,728
4160293.0,3737
4108165.0,2657
4117897.0,23
1859.0,1076
4116846.0,464
4100049.0,6269
4100120.0,568
4116937.0,59
4116873.0,1910
4108188.0,2665
4111847.0,1161
4100121.0,362
4100126.0,4533
226.0,493
4116539.0,53
4806.0,7
4160271.0,333
4114449.0,1785
4116353.0,724
4118290.0,410
4117051.0,2067
4116682.0,1256
4130404.0,1247
4176974.0,371
4108134.0,1613
4108108.0,2173
4100145.0,862
1704.0,991
4100862.0,17
4130097.0,354
4108138.0,945
4151663.0,859
4199455.0,2892
4170542.0,414
4120454.0,932
4130130.0,980
4116669.0,220
4112031.0,1158
4116809.0,363
4108191.0,175
4100140.0,1994
4102945.0,173
4151750.0,3371
4116953.0,379
4114333.0,789
4116906.0,1955
4116733.0,845
4111843.0,13
4107929.0,3190
4116788.0,2712
4170653.0,393
4130535.0,15
4113319.0,270
1717.0,2536
4117254.0,1095
4116982.0,2909
4116813.0,452
4130406.0,1542
4100042.0,2698
4160380.0,883
4109608.0,956
4108195.0,185
4107846.0,1463
4130083.0,597
4170123.0,309
9013252.0,3
2554.0,25
7101696.0,1124
4170970.0,392
4103726.0,111
1729.0,700
9176938.0,86
4114846.0,137
4160337.0,376
202.0,412
4175951.0,1
4108097.0,1789
4120457.0,381
4116917.0,149
4116836.0,3830
4116726.0,349
4116800.0,692
4100577.0,1473
4113449.0,246
4107948.0,1522
4107932.0,1014
4199315.0,278
4117285.0,730
4122176.0,555
4107668.0,1878
4160316.0,174
4170107.0,2656
4116952.0,376
4114339.0,423
4170106.0,2118
4108053.0,2525
4135518.0,208
4100047.0,489
9170487.0,368
4119331.0,1019
4114356.0,145
4108015.0,445
4130134.0,664
2806839.0,1
1806.0,256
4113322.0,1386
4108200.0,621
4112024.0,2036
4108112.0,2288
4176773.0,24
4108121.0,741
4100051.0,6051
4198444.0,151
